Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAT,"American Assets Trust",47.8,0.3,+0.63%,47.8,47.22,234500,10/23/19
AB,"Alliancebernstein Holding LP",28.28,0.12,+0.43%,28.37,28.2,400,"09:35 ET"
ABCB,"Ameris Bancorp",42.84,-0.11,-0.26%,42.84,42.14,460400,10/23/19
ABDC,"Alcentra Capital Com",8.92,0.02,+0.22%,8.94,8.87,14000,10/23/19
ABM,"ABM Industries Incorporated",37.1,-0.27,-0.72%,37.1,37.21,252800,10/24/19
ABR,"Arbor Realty Trust",13.37,-0.030000000000001,-0.22%,13.42,13.5,231,"09:40 ET"
ACC,"American Campus Communities Inc",50.18,-0.07,-0.14%,50.36,49.87,747200,10/24/19
ACGL,"Arch Capital Grp Ltd",41.45,0.060000000000002,+0.14%,41.66,41.21,1750900,10/24/19
ACRE,"Ares Commercial Real Estate Cor",15.48,-0.0099999999999998,-0.06%,15.5,15.31,100,"09:39 ET"
ADC,"Agree Realty Corp",77.62,0.39,+0.50%,77.62,76.93,319800,10/23/19
AEG,"Aegon N.V.",4.49,0.02,+0.45%,4.49,4.48,500,"09:33 ET"
AEL,"American Equity Investment Life",24.72,-0.02,-0.08%,24.83,24.37,248400,10/24/19
AER,"Aercap Holdings N.V.",58.48,0.76,+1.32%,58.62,58,4620,"09:38 ET"
AFG,"American Financial Group",103.71,0.16,+0.15%,103.94,103,141000,10/24/19
AFL,"Aflac Incorporated",52.58,0.11,+0.21%,52.63,52.25,2765300,10/24/19
AGM,"Federal Agricultural Mortgage Corp",84.13,-0.51000000000001,-0.60%,84.13,84.36,14400,10/23/19
AGNC,"American Capital Age",16.68,-0.1,-0.60%,16.75,16.8,2830,"09:40 ET"
AGO,"Assured Guaranty Ltd",46.72,0.22,+0.47%,46.67,46.3,500600,10/24/19
AHH,"Armada Hoffler Properties Inc",18.15,-0.17,-0.93%,18.36,18.03,178600,10/23/19
AHT,"Ashford Hospitality Trust Inc",3,0.03,+1.01%,3,2.94,124,"09:38 ET"
AI,"Arlington Asset Investment Corp",5.87,0.0099999999999998,+0.17%,5.88,5.78,246900,10/24/19
AIG,"American International Group",53.49,0.34,+0.64%,53.56,52.68,2678500,10/24/19
AINV,"Apollo Investment Company",16.02,0.029999999999999,+0.19%,16.02,15.97,305400,10/24/19
AIV,"Apartment Investment and Management",54.34,-0.36,-0.66%,54.69,54.04,877000,10/24/19
AIZ,"Assurant Inc",127.01,0.48,+0.38%,127.55,125.7,338400,10/24/19
AJG,"Arthur J. Gallagher & Company",90.48,0.33,+0.37%,90.56,89.46,805400,10/24/19
AKR,"Acadia Realty Trust",28.85,-0.32,-1.10%,29.21,29.14,509100,10/24/19
ALEX,"Alexander and Baldwin Inc",24.53,-0.22,-0.89%,24.53,24.69,189400,10/23/19
ALL,"Allstate Corp",108.27,0.089999999999989,+0.08%,108.39,107.5,1061500,10/24/19
ALLY,"Ally Financial",30.95,0.14,+0.45%,30.97,30.6,3361800,10/24/19
AMBC,"Ambac Financial Group",20.05,0.08,+0.40%,20.13,19.86,142900,10/23/19
AMG,"Affiliated Managers Group",77.95,0.91,+1.18%,78,75.23,366300,10/24/19
AMH,"American Homes 4 Rent",25.93,0.030000000000001,+0.12%,25.95,25.61,2527700,10/24/19
AMNB,"American Natl Bksh",36.46,0.18,+0.50%,36.66,36.01,8900,10/23/19
AMP,"Ameriprise Financial Services",149.86,6.39,+4.45%,151.94,141.99,791600,10/24/19
AMSF,"Amerisafe Inc",64.35,-0.68,-1.05%,64.89,63.97,63100,10/23/19
AMT,"American Tower Corp",225,-1.02,-0.45%,226.03,226,1345,"09:40 ET"
AMTD,"TD Ameritrade HD",38.85,0.1,+0.26%,38.93,38.75,1558,"09:40 ET"
ANAT,"Amer Natl Insurance",118.8,1.97,+1.69%,119.02,116.47,32200,10/23/19
ANH,"Anworth Mortgage Asset Corp",3.4,-0.04,-1.16%,3.4,3.4,368000,10/24/19
AON,"AON Plc",191.45,0.0099999999999909,+0.01%,191.45,190.24,855900,10/24/19
APAM,"Artisan Partners Asset Mgmt",26.93,0.07,+0.26%,27.01,26.35,627500,10/24/19
APLE,"Apple Hospitality REIT Inc",16.63,-0.030000000000001,-0.18%,16.67,16.52,958500,10/24/19
APO,"Apollo Global Management Llc C",41.42,0.14,+0.34%,41.44,39.5,100,"09:39 ET"
APTS,"Preferred Apartment Communities",14.61,0.1,+0.69%,14.62,14.44,198600,10/23/19
ARCC,"Ares Capital Corp",18.5,0.039999999999999,+0.22%,18.52,18.48,422,"09:40 ET"
ARE,"Alexandria Real Estate Equities",157.09,-0.63999999999999,-0.41%,157.95,156.6,621700,10/24/19
ARES,"Ares Management LP",28.77,0.81,+2.90%,28.96,27.72,408100,10/23/19
ARI,"Apollo Commercial Real Estate",18.6,-0.36,-1.90%,18.94,18.89,1009100,10/24/19
AROW,"Arrow Financial Corp",34.19,0.44,+1.30%,34.24,33.7,27500,10/23/19
ARR,"Armour Residential R",16.41,-0.73,-4.26%,17.18,17.09,1400,"09:40 ET"
ASA,"ASA Gold and Precious Metals",12.11,-0.03,-0.25%,12.11,12.11,2000,"08:50 ET"
ASB,"Associated Banc-Corp",20.5,-0.15,-0.73%,20.62,20.46,1058200,10/24/19
ASPS,"Altisource Portfolio",21.32,-1.82,-7.87%,22.66,22.81,119600,10/24/19
ASRV,"Ameriserv Financial",4.17,0.03,+0.83%,4.19,4.13,3100,10/23/19
ATAX,"Amer First Mf Inv",7.71,0.04,+0.52%,7.72,7.66,79300,10/23/19
ATH,"Athene Holding Ltd",41.85,-0.14,-0.33%,42.12,41.43,1304400,10/24/19
ATLC,"Atlanticus Hldg Cp",7.99,-0.22,-2.68%,8.19,7.88,9100,10/23/19
AUB,"Atlantic Union Bancshares Corp",37.27,-0.16,-0.43%,37.2,37.24,252400,10/24/19
AVB,"Avalonbay Communities",220.29,-1.24,-0.56%,221.17,219.2,554100,10/24/19
AX,"Axos Financial Inc",30.27,0.050000000000001,+0.17%,30.27,29.7,176600,10/24/19
AXP,"American Express Company",116.68,0.19000000000001,+0.16%,116.86,116.95,653,"09:40 ET"
AXS,"Axis Capital Holdings",62.17,-0.39,-0.62%,62.74,61.88,386500,10/23/19
BAC,"Bank of America Corp",31.43,0.009999999999998,+0.03%,31.51,31.43,92409,"09:40 ET"
BAH,"Booz Allen Hamilton Holding Corp",68,0.37,+0.55%,67.83,67.36,909600,10/24/19
BAM,"Brookfield Asset Management Inc",53.91,0.029999999999994,+0.06%,54.1,53.57,1258800,10/24/19
BANC,"First Pactrust Bancorp",14.1,-0.07,-0.49%,14.1,13.57,810500,10/23/19
BANR,"Banner Corp",55.91,-0.22000000000001,-0.39%,56.15,55.3,127600,10/24/19
BAP,"Credicorp Ltd",215.35,3.3,+1.56%,215.35,207.21,244500,10/24/19
BATRA,"Liberty Braves CS A",27.87,0.01,+0.04%,27.95,27.73,30900,10/23/19
BATRK,"Liberty Braves CS C",27.69,-0.06,-0.22%,27.84,27.62,55100,10/23/19
BBAR,"Bbva Banco Frances S.A.",3.86,-0.04,-1.03%,3.9,3.9,507800,10/24/19
BBD,"Banco Bradesco S.A.",8.72,0.020000000000001,+0.23%,8.75,8.55,15617700,10/24/19
BBDC,"Barings Bdc Inc",10.15,0.06,+0.59%,10.15,10,139100,10/23/19
BBT,"BB&T Corp",53.37,-0.12,-0.22%,53.64,53.17,2543500,10/24/19
BBVA,"Banco Bilbao Viscaya Argentaria S.A.",5.49,0.0099999999999998,+0.18%,5.49,5.5,671,"09:40 ET"
BCBP,"Bcb Bancorp Inc",12.97,-0.03,-0.23%,13,12.79,40200,10/23/19
BCOR,"Blucora Inc",21.68,0.12,+0.56%,21.67,21.12,313500,10/24/19
BCS,"Barclays Plc",8.55,0.020000000000001,+0.23%,8.56,8.56,176250,"09:40 ET"
BCSF,"Bain Capital Specialty Finance Inc",18.9,0.06,+0.32%,18.97,18.82,135100,10/23/19
BDGE,"Bridge Bancorp Inc",30,0.01,+0.03%,30.1,29.58,39100,10/23/19
BDN,"Brandywine Realty Trust",14.93,0.07,+0.47%,14.91,15,100,"09:40 ET"
BEN,"Franklin Resources",28.14,0.26,+0.93%,28.12,26.96,6943000,10/24/19
BGCP,"Bgc Partners Cl A",5.46,-0.27,-4.71%,5.66,5.7,100,"09:40 ET"
BHF,"Brighthouse Financial Inc",38.6,0.44,+1.15%,38.62,37.79,653100,10/24/19
BHLB,"Berkshire Hills Bancorp",30.54,-0.080000000000002,-0.26%,30.54,30.46,125300,10/24/19
BHR,"Braemar Hotels & Resorts Inc",9.54,0.0099999999999998,+0.10%,9.63,9.39,55900,10/24/19
BK,"Bank of New York Mellon Corp",46.65,-0.079999999999998,-0.17%,46.83,46.04,6547800,10/24/19
BKCC,"Blackrock Cptl Invt",4.76,-0.03,-0.63%,4.76,4.77,227000,10/24/19
BKU,"BankUnited Inc",34.45,-0.029999999999994,-0.09%,34.73,33.75,985900,10/24/19
BLK,Blackrock,457.3,0.24000000000001,+0.05%,459.07,448.33,378200,10/24/19
BLX,"Banco Latinoamericano DE Comercio",20.72,0.2,+0.97%,20.78,20.46,74200,10/23/19
BMA,"Banco Macro S.A.",24.55,-0.37,-1.48%,24.61,25.19,1010,"09:38 ET"
BMO,"Bank of Montreal",74.74,0.059999999999988,+0.08%,75,74.6,3523,"09:35 ET"
BMTC,"Bryn Mawr Bank Corp",37.78,0.03,+0.08%,37.88,37.47,68100,10/23/19
BNS,"Bank of Nova Scotia",57.46,0.030000000000001,+0.05%,57.52,57.29,697300,10/24/19
BOCH,"Bank of Commerce Hld",11.3,-0.01,-0.09%,11.35,11.19,7600,10/23/19
BOH,"Bank of Hawaii Corp",86.46,-0.22,-0.25%,87.76,86.35,201700,10/24/19
BOKF,"Bok Financial Corp",78.15,-0.44,-0.56%,78.6,77.12,181700,10/24/19
BPFH,"Boston Pvt Finl Hldg",11.99,-0.02,-0.17%,12,11.82,419000,10/24/19
BPOP,"Popular Inc",54.12,0.15,+0.28%,54.31,52.52,1274300,10/24/19
BPR,"Brookfield Property REIT Inc",19.42,-0.09,-0.46%,19.45,19.38,664600,10/24/19
BPY,"Brookfield Property Partners L",19.42,-0.099999999999998,-0.51%,19.5,19.41,605900,10/24/19
BRG,"Bluerock Residential Growth Rei",12.14,-0.07,-0.57%,12.29,11.96,120600,10/23/19
BRKL,"Brookline Bancorp",15.69,0.25,+1.62%,15.69,15.11,192800,10/24/19
BRO,"Brown & Brown",36.55,0.23,+0.63%,36.5,35.99,1344100,10/24/19
BRX,"Brixmor Property Group Inc",20.99,-0.050000000000001,-0.24%,21.04,20.99,1645000,10/24/19
BSAC,"Banco Santander Chile ADR",27.43,-0.18,-0.65%,27.63,27.19,329400,10/23/19
BSBR,"Banco Santander Brasil S.A.",12.14,0.13,+1.08%,12.14,11.63,1130200,10/24/19
BSMX,"Grupo Financiero Santander Mexico",7.04,0.05,+0.72%,7.04,6.95,280300,10/23/19
BSRR,"Sierra Bancorp",26.98,-0.02,-0.07%,27.05,26.68,27700,10/23/19
BUSE,"First Busey Corp",26.33,0.029999999999998,+0.11%,26.22,25.18,175600,10/24/19
BX,"The Blackstone Group LP",52.14,0.63,+1.22%,52.04,51.83,1629,"09:40 ET"
BXMT,"Blackstone Mortgage Trust Inc Cl A",36.3,-0.21,-0.58%,36.55,36.39,788800,10/24/19
BXP,"Boston Properties",130.72,-0.25,-0.19%,130.72,129.8,752200,10/24/19
BXS,"Bancorpsouth Inc",30.08,-0.12,-0.40%,30.11,29.89,502100,10/24/19
BYD,"Boyd Gaming Corp",27.03,-0.07,-0.26%,27.29,25.3,2029500,10/24/19
C,"Citigroup Inc",72.42,-0.030000000000001,-0.04%,72.86,72.6,1608,"09:40 ET"
CAC,"Camden Natl Cp",43.94,0.02,+0.05%,44,43.64,17300,10/23/19
CACC,"Credit Acceptance",446.76,0.060000000000002,+0.01%,446.76,444.3,100200,10/24/19
CADE,"Cadence Bancorp Cl A",15.39,-0.35,-2.22%,15.6,15.6,472,"09:40 ET"
CASH,"Meta Financial Group",35.42,-0.15,-0.42%,35.77,35.27,222400,10/23/19
CATY,"Cathay Genl Bncp",35.89,-0.06,-0.17%,36,35.68,193800,10/23/19
CB,"Chubb Ltd",150.48,0.31999999999999,+0.21%,150.52,148.52,1448300,10/24/19
CBL,"Cbl & Associates Properties",1.56,0.02,+1.30%,1.58,1.6,5381,"09:35 ET"
CBOE,"CBOE Global Markets Inc",115.05,1.02,+0.89%,114.68,113.39,460100,10/24/19
CBRE,"CBRE Group Inc",52.61,0.24,+0.46%,52.61,51.73,945400,10/24/19
CBSH,"Commerce Bancshares",64.53,0.62,+0.97%,64.55,63.83,368600,10/23/19
CBU,"Community Bank System",66.93,0.32,+0.48%,66.97,66.24,224300,10/23/19
CCI,"Crown Castle International Corp",140.44,-0.46000000000001,-0.33%,141.24,141.4,315,"09:40 ET"
CCNE,"Cnb Financial Corp",31.79,-0.32,-1.00%,32.2,31.6,20000,10/23/19
CDR,"Cedar Shopping Centers Inc",3.58,-0.06,-1.65%,3.69,3.57,186700,10/23/19
CFFN,"Capitol Fed Finl Inc",14.28,-0.12,-0.83%,14.28,14.32,167600,10/23/19
CFG,"Citizens Financial Group Inc/Ri",35.94,-0.039999999999999,-0.11%,36.08,35.57,4059400,10/24/19
CFR,"Cullen/Frost Bankers",94.34,1.36,+1.46%,94.27,92.15,455000,10/24/19
CG,"The Carlyle Group",27.4,-0.030000000000001,-0.11%,27.44,26.94,824900,10/24/19
CGBD,"Tcg Bdc Inc",14.24,-0.049999999999999,-0.35%,14.24,14.27,108400,10/24/19
CHCO,"City Holding Company",78.96,-0.09,-0.11%,79.56,78.45,46500,10/23/19
CHH,"Choice Hotels International",86.58,0.38,+0.44%,86.72,85.07,254800,10/24/19
CI,"Cigna Corp",172.68,-0.22999999999999,-0.13%,173.04,169,2098700,10/24/19
CIA,"Citizens Inc",7.03,-0.12,-1.68%,7.14,7.01,25600,10/23/19
CIB,"Bancolombia S.A.",50.77,0.17,+0.34%,50.84,49.33,346800,10/24/19
CIM,"Chimera Investment Corp",20.35,-0.059999999999999,-0.29%,20.43,20.35,2246,"09:40 ET"
CINF,"Cincinnati Financial",114.16,0.2,+0.18%,114.48,113.05,448800,10/24/19
CIO,"City Office REIT Inc",13.61,-0.030000000000001,-0.22%,13.62,13.57,285300,10/24/19
CIT,"Cit Group Inc",44.5,0.51,+1.16%,44.5,43.9,762000,10/23/19
CIVB,"Civista Bncshrs",22.5,0.17,+0.76%,22.5,21.96,18500,10/23/19
CLBK,"Columbia Financial Inc",16.4,-0.04,-0.24%,16.48,16.17,237200,10/23/19
CLDT,"Chatham Lodging Trust [Reit]",17.86,0.09,+0.51%,17.86,17.71,190400,10/24/19
CLI,"Mack-Cali Realty Corp",22.09,0.11,+0.50%,22.09,21.79,212100,10/23/19
CLNY,"Colony Capital Inc",5.68,0.02,+0.35%,5.69,5.63,2521100,10/24/19
CM,"Canadian Imperial Bank of Commerce",85.86,0.3,+0.35%,85.88,84.93,373300,10/24/19
CMA,"Comerica Inc",65.74,-0.030000000000001,-0.05%,66,65.36,824000,10/24/19
CME,"CME Group Inc",202.02,-0.20999999999998,-0.10%,203.17,200.12,1060600,10/24/19
CMO,"Capstead Mortgage Corp",7.79,-0.08,-1.02%,7.79,7.8,475200,10/23/19
CNA,"Cna Financial Corp",45.81,0.039999999999999,+0.09%,45.81,45.39,370500,10/24/19
CNNE,"Cannae Holdings Inc",27.83,0.3,+1.09%,27.83,27.33,300700,10/23/19
CNO,"Cno Financial Group",15.7,-0.020000000000001,-0.13%,15.76,15.64,1307400,10/24/19
CNOB,"Connectone Bancorp",23.4,0.79,+3.49%,23.32,22.31,37700,10/24/19
CNS,"Cohn & Steers Inc",63.6,-0.02,-0.03%,64.25,62.88,185400,10/24/19
CNTY,"Century Casinos IN",7.95,-0.26,-3.17%,8.21,7.82,92900,10/23/19
CODI,"Compass Diversified Holdings",19.7,0.14,+0.72%,19.7,19.42,90900,10/24/19
COF,"Capital One Financial Corp",92.78,-0.010000000000005,-0.01%,93.06,91.81,1987800,10/24/19
COLB,"Columbia Banking Sys",37.98,0.009999999999998,+0.03%,38.65,37.66,284300,10/24/19
CONE,"Cyrusone Inc",74.84,-0.50999999999999,-0.68%,75.34,75,710200,10/24/19
COOP,"Mr.Cooper Group Inc",12,-0.07,-0.58%,12,11.97,537200,10/24/19
COR,"Coresite Realty Corp",122.38,0.59,+0.48%,122.55,121.24,127900,10/23/19
CORR,"Corenergy Infrastructure Trust Inc",47.26,-0.22,-0.46%,47.26,47.08,53900,10/23/19
COWN,"Cowen Group Inc",14.4,0.17,+1.19%,14.56,14.12,216900,10/23/19
CPF,"Central Pacific Financial Company",29.9,0.47,+1.60%,30.41,29.58,130600,10/23/19
CPLG,"Corepoint Lodging Inc",10.03,0.029999999999999,+0.30%,10.25,9.86,223500,10/24/19
CPSS,"Consumer Portfol",3.38,-0.09,-2.59%,3.44,3.31,6200,10/23/19
CPT,"Camden Property Trust",114.12,-0.33,-0.29%,114.12,113.34,311100,10/24/19
CPTA,"Capitala Finance Crp",8.4,0,0.00%,8.43,8.33,101400,10/23/19
CRESY,"Cresud Sacif ADR",5.11,0.01,+0.20%,5.47,5.01,177200,10/23/19
CRON,"Cronos Group Inc",8.81,0.040000000000001,+0.46%,8.87,8.77,23198,"09:40 ET"
CS,"Credit Suisse Group",12.61,0.0099999999999998,+0.08%,12.63,12.64,398,"09:39 ET"
CSFL,"Centerstate Bank Corp",24.42,-0.24,-0.97%,24.47,24.28,806800,10/24/19
CSWC,"Capital Southwest",22.41,0.03,+0.13%,22.5,22.27,39100,10/23/19
CTBI,"Community TR Bancp",43.06,-0.33,-0.76%,43.37,42.87,27600,10/23/19
CTRE,"Caretrust REIT Inc",24.41,-0.14,-0.57%,24.41,23.83,519600,10/23/19
CTT,"Catchmark Timber Trust Inc",11.54,0.02,+0.17%,11.59,11.43,190200,10/23/19
CUBE,Cubesmart,34.31,-0.030000000000001,-0.09%,34.31,34.17,1708600,10/24/19
CUBI,"Customers Bancorp",22.65,1,+4.62%,22.69,21.43,85500,10/24/19
CURO,"Curo Group Holdings Corp",12.63,0.11,+0.88%,12.63,12.42,191300,10/24/19
CUZ,"Cousins Properties Inc",38.66,0.91,+2.41%,38.66,37.48,596300,10/24/19
CVBF,"Cvb Financial Corp",20.57,-0.78,-3.65%,20.86,21.3,398800,10/24/19
CVCY,"Central Vly Cmty Bcp",20.38,0.09,+0.44%,20.5,20.22,14500,10/23/19
CWK,"Cushman & Wakefield Plc",18.72,-0.09,-0.48%,18.81,18.59,267600,10/24/19
CXP,"Columbia Property Trust Inc",20.46,0.32,+1.59%,20.47,20.06,629500,10/23/19
CXW,"Corecivic Inc",16.17,-0.029999999999998,-0.19%,16.29,15.89,1119500,10/24/19
CZNC,"Citizens Nrthn Cp",25.74,-0.1,-0.39%,26.2,25.74,3000,10/23/19
CZR,"Caesars Entertainment Corp",12.19,0.049999999999999,+0.41%,12.2,12.01,5000,"09:40 ET"
DB,"Deutsche Bank Ag",8.04,0.049999999999999,+0.63%,8.04,8.04,46130,"09:40 ET"
DCOM,"Dime Community Bncsh",22.26,0,0.00%,22.28,22.09,37200,10/23/19
DEA,"Easterly Government Properties",21.99,-0.1,-0.45%,22,21.87,405500,10/24/19
DEI,"Douglas Emmett",42.87,-0.1,-0.23%,43.06,42.45,465000,10/24/19
DFS,"Discover Financial Services",80.6,0.079999999999998,+0.10%,80.85,80.52,454,"09:39 ET"
DGICA,"Donegal Group Cl A",14.32,-0.09,-0.62%,14.4,14.26,6800,10/23/19
DLR,"Digital Realty Trust",135.28,-0.46000000000001,-0.34%,135.74,134.21,1052400,10/24/19
DOC,"Physicians Realty Trust",18.29,-0.060000000000002,-0.33%,18.29,18.09,1611000,10/24/19
DRE,"Duke Realty Corp",34.2,0.010000000000005,+0.03%,34.29,33.86,1978800,10/24/19
DRH,"Diamondrock Hospitality Company",10.16,0.06,+0.59%,10.18,10.07,1330000,10/24/19
DS,"Drive Shack Inc",4.25,0.07,+1.67%,4.29,4.14,336300,10/23/19
DX,"Dynex Capital",15.51,0.05,+0.32%,15.56,15.36,157600,10/23/19
EBSB,"Meridian Bncp",19.73,-0.039999999999999,-0.20%,19.73,18.74,603200,10/23/19
ECPG,"Encore Capital Group",33.98,0.13,+0.38%,33.98,33.59,112000,10/24/19
EEFT,"Euronet Worldwide",142.02,2.85,+2.05%,142.02,131.41,1394900,10/24/19
EFC,"Ellington Financial Llc",18.43,0.05,+0.27%,18.47,18.37,340600,10/23/19
EFSC,"Enterprises Finl Svc",43.89,-0.11,-0.25%,43.7,43.56,90000,10/24/19
EGBN,"Eagle Bancorp Inc",45.15,-0.13,-0.29%,45.15,44.79,125200,10/24/19
EGOV,"Nic Inc",20.33,0.009999999999998,+0.05%,20.34,20.24,186400,10/24/19
EGP,"Eastgroup Properties",129.25,1.07,+0.83%,129.41,127.49,164600,10/23/19
EHTH,"Ehealth Inc",61.15,1.11,+1.85%,61.17,60.03,515,"09:40 ET"
EIG,"Employers Holdings Inc",43.62,0.56,+1.30%,44.16,43.19,116500,10/23/19
ELS,"Equity Lifestyle Properties",67.81,-0.31999999999999,-0.47%,68.19,67.53,630600,10/24/19
ENVA,"Enova International Inc",20.77,-0.030000000000001,-0.14%,20.77,20.61,108600,10/24/19
EPR,"Entertainment Properties Trust",79.21,-0.30000000000001,-0.38%,79.5,79.94,301,"09:40 ET"
EPRT,"Essential Properties Realty Trust Inc",24.52,-0.09,-0.37%,24.64,24.33,589300,10/24/19
EQC,"Equity Commonwealth",31.89,-0.14,-0.44%,31.98,31.8,349100,10/24/19
EQH,"Axa Equitable Holdings Inc",22.69,0.15,+0.67%,22.69,22.31,1256800,10/23/19
EQIX,"Equinix Inc",563.59,-3.03,-0.53%,569.7,558.93,370500,10/24/19
EQR,"Equity Residential",87.29,-0.55,-0.63%,87.96,85.94,2968100,10/24/19
ERI,"Eldorado Resorts",44.31,0.41,+0.93%,44.38,42.76,1295300,10/24/19
ERIE,"Erie Indemnity Company",183.6,-2.78,-1.49%,186.46,182.29,157200,10/23/19
ESNT,"Essent Group Ltd",52.9,0.33,+0.63%,52.9,51.91,472400,10/24/19
ESRT,"Empire State Realty Trust Inc",14.48,0.06,+0.42%,14.88,14.24,650300,10/24/19
ESS,"Essex Property Trust",323.23,-5.11,-1.56%,328.34,326.13,394800,10/24/19
ETFC,"E*Trade Finl Corp",40.95,0.060000000000002,+0.15%,41.03,40.08,2471000,10/24/19
EV,"Eaton Vance Corp",45.57,0.17,+0.37%,45.57,44.41,833100,10/24/19
EVH,"Evolent Health Inc Cl A Com",7.74,-0.05,-0.64%,7.76,7.63,837900,10/24/19
EVR,"Evercore Partners Inc",73.4,0.070000000000007,+0.10%,73.69,71.06,1829900,10/24/19
EWBC,"East West Bancorp",42.94,-0.030000000000001,-0.07%,43.08,42.59,832600,10/24/19
EXPO,"Exponent Inc",64.88,0.44,+0.68%,64.88,64.15,179600,10/24/19
EXR,"Extra Space Storage Inc",115.44,-0.24000000000001,-0.21%,115.87,114.55,975900,10/24/19
EZPW,"Ezcorp Inc",5.33,-0.32,-5.66%,5.73,5.3,1274300,10/23/19
FAF,"First American Corp",62.09,1.64,+2.71%,62.85,60.95,1037,"09:40 ET"
FANH,"Fanhua Inc",25.09,0.079999999999998,+0.32%,25.15,24.83,168600,10/24/19
FBC,"Flagstar Bancorp",37.48,0.13,+0.35%,37.49,37.34,500,"09:35 ET"
FBIZ,"First Business Finan",25.25,-0.2,-0.79%,25.92,25.03,11200,10/23/19
FBNC,"First Bancorp [Nc]",37.22,-0.16,-0.43%,37.59,36.57,50200,10/23/19
FBP,"First Bancorp",10.53,0.02,+0.19%,10.58,10.34,2372700,10/24/19
FC,"Franklin Covey Company",36.23,-0.3,-0.82%,36.99,36.08,20600,10/23/19
